Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2015-01-01,197.2161865234375,198.12686301275517,196.27219368648883,196.8608121487067,2963643
2015-01-02,196.6942138671875,199.0264323161827,196.4165776393517,197.26060659900745,7331366
2015-01-05,194.53970336914062,197.8825474435644,194.15099781127083,196.5720599270736,10103941
2015-01-06,185.7106170654297,193.90667590872312,184.7999405657226,193.24033412146593,18627980
2015-01-07,189.75311279296875,190.75263285341046,185.91052366367228,185.93273456159167,20720312
2015-01-08,187.03221130371094,191.6633171524148,186.6101893989666,191.04138233119403,19872227
2015-01-09,191.08578491210938,191.4633849812264,187.68742877115756,188.4426140823578,13392787
2015-01-12,188.86463928222656,191.2412793948599,186.93224676337402,191.1302249099317,10100113
2015-01-13,187.2765350341797,189.8974952847062,186.6879313761548,189.4643679216596,9948711
2015-01-14,185.45518493652344,188.1316722638712,184.6222466126903,187.24320669538713,11380041
2015-01-15,191.96315002441406,193.48464096211399,186.57685918874574,186.57685918874574,16927085
2015-01-16,193.17369079589844,194.3508980149175,189.2533487793644,191.019159607893,19136963
2015-01-19,195.38372802734375,196.79414962360164,190.7415171680115,193.2847389784686,13339962
2015-01-20,200.5812225341797,201.1365097694388,195.2060225251874,195.79464093197362,13361320
2015-01-21,201.40306091308594,202.43589735100488,198.13796985999872,201.01437018798157,17084297
2015-01-22,196.29440307617188,201.50300659270613,195.350410317783,201.04766838594088,23721627
2015-01-23,196.9940643310547,199.41511140472045,194.7951262267036,197.68261696296412,18080494
2015-01-27,197.47161865234375,199.17079679353517,195.5725276064605,198.32675303380165,17939876
2015-01-28,201.42527770996094,202.0805288912518,196.8163826768748,196.8163826768748,19298126
2015-01-29,206.43397521972656,207.56676068757196,201.4363748297793,201.48079662639796,36117653
2015-01-30,203.29104614257812,206.84489369620476,201.90282050351152,206.56724263757744,21746801
2015-02-02,201.6918182373047,204.32388386454568,201.16984729158995,203.4687346117875,19302710
2015-02-03,208.2553253173828,208.97719432951618,202.83570310726026,202.83570310726026,17092333
2015-02-04,206.3007049560547,209.63242858595154,205.6565740932668,208.5884867360064,14072894
2015-02-05,205.16790771484375,208.766161911204,203.81299854680657,207.89992212039152,12365643
2015-02-06,202.10275268554688,206.5672623314727,200.5701560599362,205.25678953934798,9045844
2015-02-09,199.1707763671875,203.9018304965206,198.12683463686,200.17029630703576,8839692
2015-02-10,195.90570068359375,200.9032859353634,191.30791157650117,199.45954798107257,13651008
2015-02-11,200.0592803955078,200.95885148018473,196.12783256398325,196.79417437665268,9781008
2015-02-12,201.9361114501953,203.00226409947075,197.07179184125525,201.68068614925983,8709626
2015-02-13,203.79080200195312,204.5237764653413,201.91392180678787,203.01339091538753,7393680
2015-02-16,200.5257110595703,205.2789766910055,199.90377625939132,204.05733281575763,12266698
2015-02-18,200.270263671875,201.6807001298251,198.65992913846623,199.90376903983318,9835036
2015-02-19,200.35910034179688,201.59184957898992,197.13843138620138,201.44746392466615,9550637
2015-02-20,193.92889404296875,199.01533829945924,193.52908302488325,198.84874172615278,18717199
2015-02-23,189.12008666992188,194.7396069199503,188.15388295996263,193.2292213859609,14104463
2015-02-24,186.89891052246094,190.3083869065349,185.91051080636987,189.7419942217268,19946218
2015-02-25,187.2765350341797,190.2417790506223,186.8100913222092,188.5314953247542,15274116
2015-02-26,187.02110290527344,188.79801926450358,185.82166990643393,187.93176456984756,21459750
2015-02-27,190.03076171875,191.24130021737378,187.59860892587176,188.25384528532476,18659378
2015-03-02,191.96315002441406,194.46195009195293,190.0307426619128,193.01819729437113,14579511
2015-03-03,200.0814971923828,201.33644270638692,192.66284895516475,193.0182233579773,20636925
2015-03-04,197.20509338378906,202.0472178120921,195.4725987177289,201.23649031506176,14476047
2015-03-05,196.5609588623047,199.62615194175802,195.0505732219783,198.23792624813322,10716702
2015-03-09,193.16256713867188,198.07132365995218,191.9409381461346,196.59425452415547,14065391
2015-03-10,190.8303680419922,194.52858627756262,189.99742972884013,193.00709531253403,15234060
2015-03-11,190.11961364746094,193.15147544769064,189.33109709149016,191.23018823378544,11635873
2015-03-12,191.8632049560547,192.662826925022,190.04185204175943,190.57494323909393,11782380
2015-03-13,188.8202362060547,193.15148016388355,188.1316835042095,193.0182147687591,12936157
2015-03-16,187.04330444335938,189.67536991628825,186.64349346375434,189.13118810381044,13839990
2015-03-17,190.3195037841797,190.9969509915878,186.79897270676707,188.9201727468946,19070082
2015-03-18,192.9404754638672,193.7400974838868,189.84196608360313,190.3528315888836,9269885
2015-03-19,190.16404724121094,194.72850581220428,189.70870896370553,194.47308046194098,13934612
2015-03-20,189.70870971679688,191.27462265573536,188.48706572957988,190.55273874805349,10405717
2015-03-23,187.00999450683594,191.90763098699634,186.15484527490415,190.2417691464201,13251683
2015-03-24,188.34266662597656,189.75310305256104,187.04329951032224,187.04329951032224,9238431
2015-03-25,187.6652374267578,188.68696843056006,186.79898271530604,188.57591393602402,10264941
2015-03-26,184.20022583007812,188.63143342308643,183.0452294803486,186.82118592848036,20621346
2015-03-27,180.29098510742188,185.4662720681035,178.0142941664154,185.22193738873625,23326922
2015-03-30,180.0800018310547,181.62370386153347,176.90375417013334,181.3793839616331,17330588
2015-03-31,183.46725463867188,184.99985110863605,181.6903234593908,181.6903234593908,20235395
2015-04-01,185.6995086669922,186.3547449945065,180.60195923189647,183.22291936898867,14588531
2015-04-06,183.16737365722656,186.13261724639432,182.4455047075232,185.68838449771786,12334096
2015-04-07,184.98875427246094,185.71062333075702,183.47836863056293,183.47836863056293,21275454
2015-04-08,192.3296356201172,193.12924270794733,184.9998323176791,185.13309769447855,24821205
2015-04-09,198.8154296875,199.68168444096094,190.75265058764782,192.240825367706,27276420
2015-04-10,200.86997985839844,201.85839447622342,197.48272894174693,198.78209613243882,25323219
2015-04-13,204.90138244628906,205.40114249428626,199.6261457324493,201.41416755966338,20177342
2015-04-15,205.1568145751953,208.69954174283745,201.50301809131997,204.56819612837364,22231264
2015-04-16,206.2007598876953,208.34417087333176,204.12398159669607,205.34561065244802,20177302
2015-04-17,205.86756896972656,209.74347425947857,204.92357619948754,207.6889069926174,23958678
2015-04-20,196.71641540527344,208.22198633409994,195.1282917765139,208.18866998834488,37628162
2015-04-21,194.67295837402344,198.90426783291093,193.78450763820638,197.71594032381074,17707007
2015-04-22,195.4059295654297,196.96073674298466,192.57395140611536,195.88347864923134,14761313
2015-04-23,194.80625915527344,197.5493794484343,193.02932784195957,196.3166448407758,13337818
2015-04-24,195.21714782714844,196.44989717988176,192.94047141374907,194.79514075397847,12709854
2015-04-27,194.41754150390625,197.12734527869318,193.56239225045044,195.47258884553008,11042925
2015-04-28,192.17417907714844,195.905713799873,190.69710985154111,194.28427373457748,14687371
2015-04-29,188.7980194091797,193.36249249292646,188.2205212213115,191.46340136358492,16387960
2015-04-30,191.5411376953125,192.3296542384412,188.3426793803007,188.79801762214427,34802149
2015-05-04,197.8936309814453,198.5488672536227,191.13022026233799,192.39627101380162,15078502
2015-05-05,198.16017150878906,200.30358242959693,196.59425875107183,198.50445524770316,17846755
2015-05-06,195.51699829101562,199.18190013181035,193.68453995710115,197.68262008416238,22438208
2015-05-07,193.40692138671875,195.11720511458634,191.01917557586822,194.35091426140465,16735535
2015-05-08,197.61599731445312,198.5155683536155,191.26350244839327,193.46244069787014,17104443
2015-05-11,199.00421142578125,199.78160765172268,196.2166548760661,198.31564396125228,14214007
2015-05-12,192.95155334472656,198.77097116282815,192.1630517139295,198.77097116282815,16650201
2015-05-13,196.59425354003906,197.3827700358992,190.39723536605348,193.98439901302186,16701434
2015-05-14,195.06167602539062,196.83860726144948,193.30697051546616,196.7941706362161,12329713
2015-05-15,194.11767578125,197.0051815165746,193.2625413714079,195.88350150064082,8331715
2015-05-18,198.02691650390625,198.57109834921138,193.72898898822737,194.32869808029474,9847540
2015-05-19,198.91537475585938,200.95883666934063,196.9274400870885,197.96027649277124,14513036
2015-05-20,201.8695068359375,202.34705598765171,199.39291748207742,199.9926414043494,8708891
2015-05-21,199.18190002441406,203.32435098157575,198.59329641972016,202.40256909079497,10759523
2015-05-22,200.75892639160156,201.14763193670163,199.2374353854988,199.2374353854988,8349048
2015-05-25,198.68215942382812,201.68071981052367,198.20461025881946,199.90378854713268,6617337
2015-05-26,196.48321533203125,199.01533192947844,196.06119342795085,198.79320811452467,9510249
2015-05-27,196.63868713378906,197.8825419188379,195.5059016671987,196.79416342178206,8078236
2015-05-28,194.52857971191406,198.6266087925639,193.68453597846204,196.76083415105265,26538868
2015-05-29,194.79513549804688,196.89412466610852,193.92888082242203,195.439266366751,29277517
2015-06-01,200.40354919433594,200.99216768529493,195.01725779396997,195.4614906111095,19594976
2015-06-02,199.6039276123047,204.0795421566124,198.00469848197892,201.1809458447246,20178960
2015-06-03,199.0930633544922,202.22488894063395,197.34946337708465,199.68166697964205,15546279
2015-06-04,202.7246551513672,203.50205143356482,198.24902561618677,200.83666945211766,15931395
2015-06-05,201.6251678466797,203.66862965287007,200.89217860091833,202.1027169531503,13066337
2015-06-08,196.67201232910156,202.12495120070037,196.15004136889337,201.41417276954311,10846953
2015-06-09,196.28330993652344,197.82699699916586,194.8728734346368,196.24997876254113,9153355
2015-06-10,201.19207763671875,202.10275422416748,196.57207682406948,196.79418583220985,13509379
2015-06-11,194.82846069335938,202.01389409749137,194.051049574382,201.23648297851403,14676438
2015-06-12,197.64932250976562,198.2823479694621,195.07278404516092,195.23938061763363,21543824
2015-06-15,200.29248046875,201.0143643054601,197.68262582710622,198.77098947961855,12858570
2015-06-16,200.7811279296875,201.0143571766887,198.3933971790309,199.681658867203,13929305
2015-06-17,206.83377075195312,209.31035986344986,198.57107996610367,201.02545818095172,26232634
2015-06-18,217.4397735595703,218.11722074410065,207.12251537767554,207.1336208261591,49366799
2015-06-19,221.37123107910156,223.53685294072716,218.22830005208945,218.22830005208945,45710935
